,url_path,websocket,wasm,hash_function,webworkers,messageloop_load,postmessage_load,parallel_functions,url,label
2167,chords-lk.com-1702634346756,0,0,0,1,67467,2140,0,chords-lk.com,0
2169,webseoanalytics.com-1702783412023,0,0,0,0,28536,2450,0,webseoanalytics.com,0
2170,myasiantv.to-1702731023025,0,0,0,0,100020,3960,0,myasiantv.to,0
2172,bitgo.com-1702630210876,0,0,0,0,36379,5160,0,bitgo.com,0
2173,fox34.com-1702708220117,0,0,0,1,23118,2420,0,fox34.com,0
2176,allorostov.ru-1702618260484,0,0,0,6,6120,2190,0,allorostov.ru,0
2177,trialsport.de-1702777852149,0,0,0,0,76931,1960,0,trialsport.de,0
2179,songyy123.com-1702748941208,0,0,0,0,126441,27250,0,songyy123.com,0
2181,torrentfreak.com-1702777248469,0,0,0,0,52483,4770,0,torrentfreak.com,0
2184,boston.com-1702631507520,0,0,1,2,60768,4410,0,boston.com,0
2187,remotedesktopmanager.com-1702743789954,0,0,0,0,26835,2440,0,remotedesktopmanager.com,0
2188,salvajes.com-1702745445532,0,0,0,0,105407,63800,0,salvajes.com,0
2189,thepalmsmall.com-1702770977347,0,0,0,1,274383,31380,1,thepalmsmall.com,0
2190,shovl.io-1702747383295,0,0,0,0,80069,32240,0,shovl.io,0
2191,persgroep.net-1702737594581,0,0,0,0,165053,36250,0,persgroep.net,0
2192,zhenskij-sajt.ru-1702789384948,0,0,0,0,19533,2410,0,zhenskij-sajt.ru,0
2193,piratenpartei-hessen.de-1702738718366,0,0,0,1,20772,2030,0,piratenpartei-hessen.de,0
2195,ffb.com-1702706892333,0,0,0,0,29508,1830,0,ffb.com,0
2196,journalcra.com-1702720472883,0,0,0,0,20467,2770,0,journalcra.com,0
2197,smores.tv-1702748229355,0,0,0,0,88954,4170,0,smores.tv,0
2198,nolo.com-1702733461778,0,0,0,0,66830,4740,0,nolo.com,0
2199,prylive.com-1702741750550,0,0,0,0,337348,28480,0,prylive.com,0
2200,unlp.edu.ar-1702779957356,0,0,0,1,263005,8860,0,unlp.edu.ar,0
2201,dallashoisington.tumblr.com-1702657968096,0,0,0,0,162935,49780,0,dallashoisington.tumblr.com,0
2203,galaxytrucker.com-1702709539029,0,0,0,0,505161,48570,0,galaxytrucker.com,0
2205,myrosmol.ru-1702731462342,0,0,0,0,18595,2570,0,myrosmol.ru,0
2207,sfgame.de-1702746630692,0,1,1,0,253043,45340,0,sfgame.de,0
2208,sunnysubs.com-1702751113542,0,0,0,1,32444,4050,0,sunnysubs.com,0
2210,found.ee-1702708198577,1,0,0,1,38923,2520,0,found.ee,0
2211,juegosfriv2016.org-1702720710574,0,0,0,0,509116,22010,0,juegosfriv2016.org,0
2212,euractiv.com-1702705320967,0,0,0,0,121433,3220,0,euractiv.com,0
2215,edvberatung-kern.de-1702703490324,0,0,0,0,1520,2180,0,edvberatung-kern.de,0
2217,miui.com-1702729308835,0,0,0,0,284539,55220,0,miui.com,0
2219,frasassi.com-1702708653105,0,0,0,0,217727,18160,0,frasassi.com,0
2220,pdfonline.com-1702736915101,0,0,0,7,19696,2290,1,pdfonline.com,0
2221,themahjong.com-1702767811519,0,0,0,0,103182,5190,0,themahjong.com,0
2224,gossipandgab.com-1702713396780,0,0,0,0,456231,25000,0,gossipandgab.com,0
2225,changgame.com-1702633958262,0,0,0,2,407309,35180,0,changgame.com,0
2226,manchester.ac.uk-1702726404603,0,0,0,6,21015,2600,0,manchester.ac.uk,0
2227,northark.edu-1702733670311,0,0,0,0,298046,12170,0,northark.edu,0
2228,eurovision.org.uk-1702705408052,0,0,0,0,177525,2370,0,eurovision.org.uk,0
2230,mbc.net-1702727256995,0,0,0,0,173231,29500,0,mbc.net,0
2231,handnews.fr-1702714549647,0,0,0,0,259256,8300,0,handnews.fr,0
2232,acidcow.com-1702616761862,0,0,0,0,72418,3300,0,acidcow.com,0
2233,sportsv.net-1702749692061,0,0,0,0,83197,5970,0,sportsv.net,0
2234,parsitools.ir-1702736514306,0,0,0,0,34125,2470,0,parsitools.ir,0
2235,beltline.org-1702629042042,0,0,0,0,28478,2060,0,beltline.org,0
2236,downloads-free-movies.blogspot.com-1702688986760,0,0,0,0,20856,2290,0,downloads-free-movies.blogspot.com,0
2237,promokodo.ru-1702741421310,0,0,0,0,16711,2640,0,promokodo.ru,0
2238,portalgps.com.br-1702740428505,0,0,0,0,136769,22520,0,portalgps.com.br,0
2239,mothering.com-1702730308994,0,0,0,0,19495,2140,0,mothering.com,0
2240,rentabomb.com.au-1702743855515,0,0,0,0,35865,2640,0,rentabomb.com.au,0
2242,proxyfl.info-1702741607172,0,0,0,0,37829,2750,0,proxyfl.info,0
2243,girlstyle.com-1702710885322,0,0,0,0,175101,6370,0,girlstyle.com,0
2244,atomixnyc.com-1702620840510,0,0,0,1,222587,32070,0,atomixnyc.com,0
2245,snix.io-1702748415317,0,0,0,0,26989,2550,0,snix.io,0
2246,celeb-secret.live-1702633637877,0,0,0,0,281021,21490,0,celeb-secret.live,0
2247,anime-planet.com-1702619087480,0,0,0,0,59377,4450,0,anime-planet.com,0
2248,manychat.com-1702726448277,0,0,0,0,133564,10870,0,manychat.com,0
2249,t.co-1702752022287,0,0,0,0,30268,19520,0,t.co,0
2250,pleated-jeans.com-1702739487818,0,0,1,3,92999,2740,0,pleated-jeans.com,0
2251,vioe.be-1702781489668,0,0,0,0,52772,3150,0,vioe.be,0
2252,drugs.com-1702694533439,0,0,0,0,151949,11770,0,drugs.com,0
